"도시별","지출목적별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"부산광역시","02 주류 및 담배",63.001,64.177,64.071,97.920,98.296,99.867,99.944,100.178,100.00,100.70
"부산광역시","02.1 주류",87.115,92.201,92.094,92.488,93.855,99.555,99.818,100.612,100.00,102.19
"부산광역시","02.2 담배",56.384,56.439,56.330,100.000,100.000,100.000,100.000,100.000,100.00,100.00
"부산광역시","03 의류 및 신발",87.908,90.442,94.102,95.295,96.845,98.159,99.414,99.314,100.00,100.57
"부산광역시","03.1 의류",87.693,90.866,94.700,95.872,97.271,98.686,99.787,99.470,100.00,100.43
"부산광역시","03.2 신발",89.460,88.180,90.820,92.130,94.624,95.327,97.386,98.477,100.00,101.33
"부산광역시","04 주택, 수도, 전기 및 연료",93.361,96.973,99.062,96.979,96.029,97.294,98.364,99.660,100.00,100.97
"부산광역시","04.1 주택임차료",93.777,95.999,97.126,98.120,99.193,100.272,100.607,100.129,100.00,100.87
"부산광역시","04.3 주거시설 유지 · 보수",73.763,79.478,82.009,84.434,88.484,90.933,95.952,99.925,100.00,103.10
"부산광역시","04.4 수도 및 주거관련 서비스",74.244,77.886,78.623,80.161,83.975,88.265,93.410,96.803,100.00,103.05
"부산광역시","04.5 전기, 가스 및 기타연료",118.721,124.261,129.128,117.238,105.505,103.266,100.142,101.810,100.00,98.17
"부산광역시","05 가정용품 및 가사 서비스",89.129,89.333,91.052,93.823,95.067,96.500,97.977,100.019,100.00,102.04
"부산광역시","05.1 가구, 가사비품 및 카페트",80.556,79.458,80.052,81.756,86.017,88.800,93.707,99.664,100.00,104.52
"부산광역시","05.2 가정용 섬유제품",93.656,93.955,92.922,92.723,93.811,94.837,95.273,97.044,100.00,100.92
"부산광역시","05.3 가정용 기기",90.144,91.160,95.945,99.198,100.732,100.532,100.970,101.535,100.00,99.89
"부산광역시","05.4 주방용품 및 가정용품",88.561,89.308,91.312,96.327,96.793,96.834,98.426,99.217,100.00,100.27
"부산광역시","05.5 가정 · 정원용 공구 및 장비",92.588,97.968,98.845,97.548,98.411,99.587,100.330,99.510,100.00,107.21
"부산광역시","05.6 일상 생활용품 및 가사 서비스",94.214,93.038,92.369,96.759,94.293,97.339,97.513,99.437,100.00,103.55
"부산광역시","06 보건",94.391,94.628,95.248,96.372,97.547,98.538,98.259,98.599,100.00,99.75
"부산광역시","06.1 의료용품 및 장비",96.470,96.973,97.529,99.254,99.430,99.095,97.956,98.772,100.00,98.05
"부산광역시","06.2 외래환자 서비스",91.355,91.116,91.665,92.505,94.423,96.285,97.559,98.087,100.00,101.58
"부산광역시","06.3 병원 서비스",97.469,98.499,99.423,100.160,101.753,103.823,101.074,99.667,100.00,99.36
"부산광역시","07 교통",108.239,108.097,107.918,100.108,97.248,100.964,104.091,102.114,100.00,106.01
"부산광역시","07.1 운송장비",100.003,101.264,101.125,100.133,100.430,101.330,100.135,98.869,100.00,101.61
"부산광역시","07.2 개인운송장비 운영",128.887,125.683,121.208,103.582,97.731,103.817,110.133,105.663,100.00,111.03
"부산광역시","07.3 운송 서비스",87.626,90.331,95.200,95.296,95.244,96.875,98.873,99.718,100.00,101.70
"부산광역시","08 통신",105.597,105.434,105.324,105.060,105.146,105.425,104.517,102.118,100.00,99.18
"부산광역시","08.1 우편서비스",74.340,77.611,82.190,82.190,82.190,87.785,89.644,96.548,100.00,103.33
"부산광역시","08.2 전화 및 팩스장비",108.695,105.669,102.263,96.926,97.199,98.760,99.769,99.113,100.00,92.71
"부산광역시","08.3 전화 및 팩스 서비스",106.872,106.872,106.956,106.994,107.051,107.106,105.722,102.867,100.00,100.97
"부산광역시","09 오락 및 문화",97.638,98.880,99.194,98.960,100.611,100.648,101.235,101.088,100.00,100.52
"부산광역시","09.1 음향, 영상, 사진 및 정보처리 장비",134.694,131.758,122.798,116.868,116.787,113.760,107.223,102.941,100.00,98.47
"부산광역시","09.2 기타 오락 및 문화용 주요 내구재",102.123,101.916,100.052,99.364,99.658,102.195,103.599,103.068,100.00,100.77
"부산광역시","09.3 기타 오락용품, 조경용품 및 애완동물",91.189,93.059,94.007,95.160,98.486,97.876,98.238,97.385,100.00,100.29
"부산광역시","09.4 오락 및 문화 서비스",88.972,90.107,91.945,93.144,94.436,95.698,97.496,99.093,100.00,101.06
"부산광역시","09.5 신문, 서적 및 문방구",87.931,90.289,92.674,95.622,96.134,97.633,98.653,100.449,100.00,100.65
"부산광역시","09.6 단체여행",109.375,112.267,111.956,105.228,107.858,106.196,106.957,105.198,100.00,101.50
"부산광역시","10 교육",92.692,93.725,95.620,97.690,100.014,100.886,102.278,103.662,100.00,101.86
"부산광역시","10.1 유치원 및 초등교육",105.634,83.699,85.208,95.694,99.370,101.791,104.745,105.724,100.00,88.29
"부산광역시","10.3 고등교육",103.274,102.197,101.902,101.831,101.839,101.841,101.544,101.363,100.00,100.14
"부산광역시","10.4 기타교육",82.939,85.766,88.176,90.224,93.240,94.315,96.104,98.963,100.00,103.34
"부산광역시","11 음식 및 숙박",85.092,86.082,87.511,89.334,92.531,94.428,97.654,99.467,100.00,103.01
"부산광역시","11.1 음식 서비스",85.107,86.076,87.508,89.337,92.578,94.478,97.731,99.570,100.00,103.12
"부산광역시","11.2 숙박 서비스",84.324,86.566,87.895,89.428,90.763,92.370,94.633,95.403,100.00,98.21
"부산광역시","12 기타 상품 및 서비스",83.519,85.366,88.333,91.317,93.815,96.535,96.961,98.267,100.00,101.73
"부산광역시","12.1 미용용품 및 미용 서비스",89.052,91.785,95.265,98.252,97.484,97.360,97.605,99.007,100.00,100.81
"부산광역시","12.3 기타 개인용품",76.221,80.527,84.816,91.384,94.173,96.241,97.391,99.506,100.00,99.35
"부산광역시","12.4~7 기타서비스",81.900,79.571,80.417,81.303,88.259,95.160,95.623,96.433,100.00,103.96
"대구광역시","0 총지수",90.939,92.442,93.769,94.464,95.412,97.358,99.047,99.710,100.00,102.64
"대구광역시","01 식료품 및 비주류음료",84.829,85.478,86.756,87.940,90.595,93.475,96.809,96.806,100.00,106.01
"대구광역시","01.1 식료품",84.382,84.860,86.143,87.343,90.162,93.288,96.886,96.896,100.00,106.36
"대구광역시","01.2 비주류 음료",91.478,94.266,95.455,96.429,96.685,95.939,95.766,95.588,100.00,101.37
"대구광역시","02 주류 및 담배",61.827,62.397,62.433,97.178,97.959,99.403,99.404,99.740,100.00,99.93
"대구광역시","02.1 주류",86.083,88.736,89.362,89.843,92.670,97.871,97.878,99.066,100.00,99.78
"대구광역시","02.2 담배",56.385,56.440,56.334,100.000,100.000,100.000,100.000,100.000,100.00,100.00
"대구광역시","03 의류 및 신발",86.836,89.376,93.206,94.571,96.239,97.211,98.280,99.024,100.00,100.49
"대구광역시","03.1 의류",86.429,89.598,93.599,95.002,96.513,97.531,98.432,99.116,100.00,100.36
"대구광역시","03.2 신발",89.356,88.078,90.875,92.015,94.664,95.349,97.410,98.514,100.00,101.34
"대구광역시","04 주택, 수도, 전기 및 연료",92.067,95.574,98.489,97.881,96.488,97.077,97.806,99.345,100.00,101.18
"대구광역시","04.1 주택임차료",90.066,93.426,95.756,97.941,99.159,99.593,99.784,99.670,100.00,101.33
"대구광역시","04.3 주거시설 유지 · 보수",75.492,78.016,81.860,83.332,87.029,90.407,93.342,97.438,100.00,102.61
"대구광역시","04.4 수도 및 주거관련 서비스",70.901,72.968,74.937,80.164,84.135,86.803,91.858,96.278,100.00,103.83
"대구광역시","04.5 전기, 가스 및 기타연료",119.548,124.901,129.536,117.821,104.917,103.108,100.381,102.002,100.00,97.83
"대구광역시","05 가정용품 및 가사 서비스",87.630,88.652,90.828,94.037,95.366,96.038,97.769,99.945,100.00,101.90
"대구광역시","05.1 가구, 가사비품 및 카페트",79.312,78.727,79.982,81.594,85.831,88.726,93.639,99.602,100.00,104.64
"대구광역시","05.2 가정용 섬유제품",92.363,92.848,92.645,92.686,93.733,94.781,95.656,97.194,100.00,101.12
"대구광역시","05.3 가정용 기기",90.323,91.382,95.205,99.354,100.816,100.527,100.998,101.548,100.00,99.89
"대구광역시","05.4 주방용품 및 가정용품",93.763,93.422,94.615,99.106,99.163,97.834,98.215,99.529,100.00,101.04
"대구광역시","05.5 가정 · 정원용 공구 및 장비",93.951,100.194,101.218,99.232,98.249,99.179,99.863,98.975,100.00,105.04
"대구광역시","05.6 일상 생활용품 및 가사 서비스",86.661,88.690,90.617,95.267,94.437,95.047,96.736,98.993,100.00,102.34
"대구광역시","06 보건",93.481,93.700,94.373,95.870,96.970,97.648,97.838,98.316,100.00,100.10
"대구광역시","06.1 의료용품 및 장비",98.303,97.638,98.707,100.185,100.426,99.633,98.479,98.894,100.00,98.52
"대구광역시","06.2 외래환자 서비스",90.665,90.449,90.432,92.035,93.691,95.262,96.791,97.651,100.00,101.96
"대구광역시","06.3 병원 서비스",94.368,97.108,98.763,100.088,101.771,103.587,101.416,99.901,100.00,99.51
"대구광역시","07 교통",116.244,115.179,112.506,101.435,97.575,103.106,106.501,103.697,100.00,107.26
"대구광역시","07.1 운송장비",99.745,100.983,100.908,100.061,100.412,101.276,100.057,98.834,100.00,101.57
"대구광역시","07.2 개인운송장비 운영",133.930,130.343,125.616,106.464,99.613,106.057,111.693,106.421,100.00,112.34
"대구광역시","07.3 운송 서비스",87.000,89.792,90.004,90.324,90.456,97.196,97.813,99.911,100.00,100.83
"대구광역시","08 통신",105.472,105.282,105.161,104.892,104.980,105.281,104.414,102.060,100.00,98.99
"대구광역시","08.1 우편서비스",74.340,77.611,82.190,82.190,82.190,87.785,89.644,96.548,100.00,103.33
"대구광역시","08.2 전화 및 팩스장비",109.371,105.854,102.297,96.926,97.199,98.760,99.769,99.113,100.00,92.71
"대구광역시","08.3 전화 및 팩스 서비스",106.875,106.875,106.959,106.997,107.054,107.109,105.724,102.869,100.00,100.97
"대구광역시","09 오락 및 문화",96.676,97.809,98.279,98.082,100.105,100.557,101.155,101.036,100.00,100.86
"대구광역시","09.1 음향, 영상, 사진 및 정보처리 장비",133.073,129.100,119.880,114.541,114.838,112.262,106.560,102.784,100.00,98.55
"대구광역시","09.2 기타 오락 및 문화용 주요 내구재",104.115,105.938,102.873,100.251,97.434,100.023,102.056,102.140,100.00,100.55
"대구광역시","09.3 기타 오락용품, 조경용품 및 애완동물",90.761,91.707,93.353,94.603,98.425,99.097,98.829,97.837,100.00,101.04
"대구광역시","09.4 오락 및 문화 서비스",88.907,89.814,91.298,92.290,94.137,95.596,97.660,99.109,100.00,101.67
"대구광역시","09.5 신문, 서적 및 문방구",86.899,89.420,92.036,94.853,95.695,97.210,98.552,100.420,100.00,100.46
"대구광역시","09.6 단체여행",109.107,112.119,111.861,105.227,107.853,106.199,106.957,105.197,100.00,101.55
"대구광역시","10 교육",92.534,94.959,95.917,96.884,98.692,100.471,101.612,102.482,100.00,101.70
"대구광역시","10.1 유치원 및 초등교육",109.285,82.386,85.953,90.989,93.645,95.689,97.794,99.712,100.00,97.42
"대구광역시","10.3 고등교육",103.804,102.681,102.327,102.249,102.190,102.168,101.849,101.512,100.00,99.99
"대구광역시","10.4 기타교육",82.854,87.287,88.522,89.653,92.167,94.648,96.312,98.488,100.00,102.33
"대구광역시","11 음식 및 숙박",82.481,84.673,86.058,87.920,90.686,92.939,95.866,98.990,100.00,102.58
"대구광역시","11.1 음식 서비스",82.435,84.624,86.022,87.880,90.677,92.939,95.903,99.131,100.00,102.62
"대구광역시","11.2 숙박 서비스",85.432,87.354,87.779,89.879,91.172,92.953,94.964,95.604,100.00,101.54
"대구광역시","12 기타 상품 및 서비스",82.640,84.210,87.267,90.240,93.046,95.574,96.430,98.043,100.00,102.20
